time = 1472, robot_id = 2, x = 0.16, y = 0.24
time = 1472, robot_id = 3, x = -0.05, y = 0.34
time = 1472, robot_id = 4, x = 0.32, y = 0.05
time = 1536, robot_id = 0, x = -0.32, y = -0.37
time = 1536, robot_id = 1, x = 0.30, y = -0.17
time = 1536, robot_id = 2, x = 0.17, y = 0.24
time = 1536, robot_id = 3, x = -0.04, y = 0.34
time = 1536, robot_id = 4, x = 0.33, y = 0.05
time = 1600, robot_id = 0, x = -0.32, y = -0.37
time = 1600, robot_id = 1, x = 0.30, y = -0.18
time = 1600, robot_id = 2, x = 0.17, y = 0.24
time = 1600, robot_id = 3, x = -0.04, y = 0.33
time = 1600, robot_id = 4, x = 0.33, y = 0.05
time = 1664, robot_id = 0, x = -0.31, y = -0.37
time = 1664, robot_id = 1, x = 0.31, y = -0.18
time = 1664, robot_id = 2, x = 0.18, y = 0.24
time = 1664, robot_id = 3, x = -0.03, y = 0.33
time = 1664, robot_id = 4, x = 0.34, y = 0.05
time = 1728, robot_id = 0, x = -0.31, y = -0.36
time = 1728, robot_id = 1, x = 0.31, y = -0.19
time = 1728, robot_id = 2, x = 0.19, y = 0.23
time = 1728, robot_id = 3, x = -0.03, y = 0.33
time = 1728, robot_id = 4, x = 0.34, y = 0.05
time = 1792, robot_id = 0, x = -0.30, y = -0.36
time = 1792, robot_id = 1, x = 0.31, y = -0.19
time = 1792, robot_id = 2, x = 0.19, y = 0.23
time = 1792, robot_id = 3, x = -0.02, y = 0.33
time = 1792, robot_id = 4, x = 0.35, y = 0.05
time = 1856, robot_id = 0, x = -0.30, y = -0.36
time = 1856, robot_id = 1, x = 0.32, y = -0.20
time = 1856, robot_id = 2, x = 0.20, y = 0.23
time = 1856, robot_id = 3, x = -0.02, y = 0.32
time = 1856, robot_id = 4, x = 0.36, y = 0.05
time = 1920, robot_id = 0, x = -0.29, y = -0.35
time = 1920, robot_id = 1, x = 0.32, y = -0.20
time = 1920, robot_id = 2, x = 0.20, y = 0.23
time = 1920, robot_id = 3, x = -0.01, y = 0.32
time = 1920, robot_id = 4, x = 0.36, y = 0.05
time = 1984, robot_id = 0, x = -0.29, y = -0.35
time = 1984, robot_id = 1, x = 0.32, y = -0.21
time = 1984, robot_id = 2, x = 0.21, y = 0.22
time = 1984, robot_id = 3, x = -0.01, y = 0.32
time = 1984, robot_id = 4, x = 0.37, y = 0.04
time = 2048, robot_id = 0, x = -0.28, y = -0.35
time = 2048, robot_id = 1, x = 0.32, y = -0.21
time = 2048, robot_id = 2, x = 0.21, y = 0.22
time = 2048, robot_id = 3, x = -0.00, y = 0.31
time = 2048, robot_id = 4, x = 0.37, y = 0.04
time = 2112, robot_id = 0, x = -0.28, y = -0.34
time = 2112, robot_id = 1, x = 0.32, y = -0.22
